Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
4,-90,-17,-1,3,-75,0,0
4,-89,-15,-9,3,-75,3,7
4,-89,-15,-9,3,-75,0,0
4,-87,-22,-12,1,-70,0,0
4,-87,-22,-12,10,-49,0,0
4,-64,-8,9,10,-49,0,0
4,-64,-8,9,10,-49,0,0
4,-74,-11,4,5,-56,0,0
4,-74,-11,4,3,-66,0,0
4,-79,-16,1,3,-66,0,0
12.5,-79,-16,1,1,-71,1,0
21,-92,-15,-6,1,-71,2,4
21,-92,-15,-6,1,-71,0,0
21,-95,-17,-5,4,-78,2,4
21,-95,-17,-5,4,-78,0,0
21,-94,-17,-7,4,-78,2,4
21,-94,-17,-7,5,-75,0,0
21,-91,-16,-5,6,-75,0,0
21,-91,-16,-5,4,-70,0,0
21,-90,-15,-6,4,-73,0,0
21,-82,-15,-6,6,-65,0,0
20.5,-82,-15,-6,6,-65,0,0
20,-83,-12,2,4,-71,0,0
20,-83,-12,2,9,-49,0,0
20,-68,-8,8,9,-49,0,0
20,-68,-8,8,6,-51,39,42
20,-72,-12,-1,8,-57,1,0
20,-72,-12,-1,8,-57,2,4
20,-70,-10,2,8,-57,5,3
20,-70,-10,2,8,-57,4,6
20,-80,-13,-7,8,-57,0,0
28,-80,-13,-7,1,-67,5,6
36,-80,-13,-7,1,-67,0,0
36,-80,-13,-7,1,-67,0,30
36,-80,-13,-7,1,-67,0,10
33,-68,-16,5,7,-54,1,1
33,-77,-16,1,10,-58,0,1
33,-77,-16,1,15,-62,0,1
33,-69,-15,2,13,-56,53,23
33,-69,-15,2,13,-56,249,132
33,-69,-17,2,13,-56,19,21
33,-69,-17,2,13,-56,2,6
30,-75,-12,6,8,-63,0,4
27,-75,-12,6,11,-65,7,7
27,-74,-13,4,11,-65,0,1
27,-74,-13,4,11,-65,0,1
27,-76,-12,2,11,-65,116,89
27,-76,-12,2,11,-65,0,1
27,-73,-15,9,11,-65,0,0
27,-73,-15,9,11,-65,0,0
27,-73,-16,-2,11,-65,35,12
27,-73,-16,-2,11,-65,55,18
27,-73,-15,-8,11,-65,0,1
27,-73,-15,-8,11,-65,0,2
27,-73,-17,1,11,-65,0,0
27,-73,-17,1,11,-65,0,0
27,-73,-18,-5,11,-65,0,0
27,-73,-18,-5,11,-65,9,15
27,-73,-17,4,11,-65,7,2
27,-73,-17,4,11,-65,2,4
27,-73,-19,-7,11,-65,0,0
27,-73,-19,-7,11,-63,2,5
27,-70,-18,-4,11,-63,0,0
27,-70,-18,-4,11,-63,2,5
27,-80,-17,2,9,-67,0,0
27,-80,-17,2,8,-70,13216,208
27,-83,-19,-11,8,-70,0,0
27,-83,-19,-11,8,-70,7,39
27,-80,-18,-12,12,-68,0,1
27,-80,-18,-12,11,-64,0,0
27,-78,-19,-12,5,-62,0,0
27,-78,-19,-12,5,-62,0,0
27,-82,-16,1,9,-64,0,0
34,-82,-16,1,9,-64,0,0
41,-86,-15,-5,9,-66,0,0
41,-86,-15,-5,9,-66,0,0
41,-82,-16,-12,9,-66,0,0
41,-82,-16,-12,9,-69,0,0
41,-82,-18,-11,11,-51,0,0
41,-82,-18,-11,13,-63,2,4
41,-78,-16,-3,10,-66,2,4
38,-78,-16,-3,7,-63,0,0
35,-79,-15,-1,7,-61,2,4
35,-79,-15,-1,10,-65,5,3
35,-82,-17,-3,10,-63,0,0
35,-82,-17,-3,10,-63,0,0
35,-82,-18,-11,10,-63,0,0
35,-82,-18,-11,12,-66,0,0
35,-80,-14,-7,12,-66,0,0
35,-80,-14,-7,10,-63,0,0
35,-81,-15,2,10,-65,0,0
35,-81,-15,2,9,-67,0,0
35,-84,-18,-6,9,-67,0,0
35,-84,-18,-6,8,-64,0,0
35,-83,-17,-5,8,-64,0,0
35,-83,-17,-5,8,-64,0,0
35,-83,-15,0,8,-64,0,0
35,-83,-15,0,8,-64,0,0
35,-84,-16,0,8,-64,2,6
35,-84,-16,0,14,-66,0,0
35,-87,-15,-9,13,-64,2,4
35,-87,-15,-9,13,-64,0,0
35,-85,-18,1,14,-66,2,4
35,-85,-18,1,14,-66,0,0
35,-84,-18,-3,14,-66,0,0
35,-84,-18,-3,14,-66,0,0
35,-81,-15,5,14,-66,0,0
35,-81,-15,5,13,-69,20100,162
35,-87,-16,-3,10,-64,0,0
35,-87,-16,-3,7,-68,0,0
35,-87,-14,-1,7,-68,0,0
35,-87,-14,-1,14,-65,0,0
35,-85,-18,-1,14,-65,0,0
39,-85,-18,-4,6,-60,0,0
39,-85,-18,-4,6,-60,0,0
39,-91,-19,-9,6,-65,0,0
39,-91,-19,-9,6,-65,0,0
39,-89,-17,-6,6,-63,0,0
39,-89,-17,-6,6,-63,2,4
39,-93,-18,-7,6,-63,0,0
39,-93,-18,-7,6,-63,2,4
32.5,-83,-12,1,6,-63,0,0
26,-83,-12,1,12,-65,15,25
26,-84,-16,-10,10,-63,0,0
26,-84,-16,-10,10,-63,0,0
26,-83,-14,-1,10,-63,0,0
26,-83,-14,-1,10,-63,0,0
26,-83,-12,-7,12,-59,0,0
26,-83,-12,-7,6,-62,0,0
26,-83,-16,-2,6,-62,0,0
26,-83,-16,-2,6,-59,35,33
26,-81,-15,0,9,-57,20,16
26,-81,-15,0,9,-57,0,0
26,-83,-16,-5,7,-61,0,0
26,-83,-16,-5,7,-61,0,0
26,-89,-20,-8,6,-59,0,11
26,-89,-20,-8,6,-57,17,5
37,-89.5,-22.5,-8.5,6,-57,8.5,2.5
37,-90,-25,-9,6,-54,2,4
37,-89,-25,-8,3,-51,0,0
37,-89,-25,-8,4,-49,2,4
37,-73,-9,3,11,-57,0,0
37,-73,-9,3,15,-52,0,0
37,-69,-9,-1,15,-52,0,0
37,-69,-9,-1,15,-52,0,0
37,-67,-7,18,14,-48,0,0
37,-67,-7,18,13,-51,0,0
37,-71,-7,-4,14,-48,0,0
37,-71,-7,-4,14,-40,22507,204
37,-69,-7,11,14,-40,0,0
37,-69,-7,11,12,-50,0,0
37,-66,-7,15,12,-50,0,0
37,-66,-7,15,12,-50,0,0
37,-66,-7,7,12,-50,0,0
37,-66,-7,7,12,-50,0,0
37,-67,-8,0,12,-50,2,4
37,-67,-8,0,12,-50,0,0
37,-67,-8,1,12,-50,2,4
37,-67,-8,1,12,-50,1,1
37,-65,-7,13,12,-50,2,5
37,-65,-7,13,12,-50,0,0
37,-65,-7,9,12,-50,0,0
37,-65,-7,9,12,-50,0,0
37,-65,-8,16,12,-50,0,0
37,-65,-8,16,12,-50,0,0
37,-64,-7,15,12,-50,0,0
37,-64,-7,15,12,-50,0,0
20.5,-65,-7,1,12,-50,0,0
4,-65,-7,1,12,-43,0,0
4,-66,-7,11,8,-52,0,0
4,-66,-7,11,12,-44,0,0
4,-70,-8,10,14,-52,0,0
4,-70,-8,10,15,-49,0,0
4,-67,-10,1,15,-49,0,0
4,-67,-10,1,11,-47,0,0
4,-67,-9,-9,11,-47,2,4
4,-67,-9,-9,11,-47,0,0
4,-67,-9,6,11,-47,2,4
4,-67,-9,6,11,-47,15,26
4,-66,-8,11,15,-45,2,4
4,-66,-8,11,15,-45,0,0
4,-66,-7,4,14,-42,0,0
4,-66,-7,4,14,-42,0,0
4,-64,-8,14,14,-42,0,0
4,-64,-8,14,14,-42,0,0
4,-60,-6,6,15,-49,0,0
4,-60,-6,6,11,-47,0,0
4,-64,-9,3,11,-47,0,0
4,-64,-9,3,12,-50,0,0
4,-65,-10,-2,13,-48,0,0
4,-65,-10,-2,15,-45,103,17
4,-66,-13,-6,15,-45,15885,163
4,-66,-13,-6,13,-44,0,0
4,-65,-9,6,13,-44,0,0
4,-65,-9,6,10,-46,0,0
4,-73,-11,-4,10,-46,0,0
4,-73,-11,-4,15,-44,2,4
23.5,-69,-10,7,12.5,-48,0,0
43,-69,-10,7,13,-50,2,4
43,-62,-8,22,15,-46,0,0
43,-62,-8,22,11,-44,0,0
43,-52,-8,17,11,-44,0,0
43,-52,-8,17,13,-46,0,0
43,-50,-7,9,13,-46,0,0
43,-50,-7,9,15,-51,0,0
52,-57,-9.5,2.5,15,-51,0,0
52,-64,-12,-4,15,-42,0,0
52,-64,-8,28,14,-48,0,0
52,-64,-8,28,14,-48,0,0
52,-64,-8,19,14,-48,0,0
52,-64,-8,19,14,-48,0,0
52,-65,-7,14,14,-51,0,0
48.5,-65,-7,14,14,-55,0,0
45,-69,-10,17,14,-56,0,0
45,-69,-10,17,15,-58,2,4
45,-61,-7,30,15,-46,0,0
45,-61,-7,30,15,-44,2,4
45,-60,-7,27,15,-55,0,0
45,-60,-7,27,15,-43,2,4
45,-64,-7,26,13,-49,0,0
45,-64,-7,26,13,-60,0,0
45,-73,-8,11,13,-60,0,0
45,-73,-8,11,14,-62,0,0
45,-74,-8,22,14,-62,0,0
45,-74,-8,22,14,-62,0,0
45,-75,-8,12,14,-62,0,0
45,-75,-8,12,14,-60,0,0
45,-76,-7,20,14,-60,0,0
45,-76,-7,20,14,-60,0,0
45,-76,-7,24,14,-60,0,0
45,-76,-7,24,14,-60,0,0
45,-75,-9,22,14,-62,0,0
45,-75,-9,22,13,-60,0,0
45,-76,-7,19,13,-60,9200,66
45,-76,-7,19,13,-60,18,31
45,-76,-7,13,13,-60,0,0
45,-76,-7,13,13,-60,2,4
45,-77,-9,13,13,-60,0,0
45,-77,-9,13,13,-60,2,4
45,-75,-8,18,13,-60,0,2
45,-75,-8,18,13,-60,0,0
45,-76,-8,15,13,-60,0,0
45,-76,-8,15,13,-60,0,0
45,-77,-8,13,13,-60,0,0
45,-77,-8,13,12,-58,0,0
45,-77,-7,15,12,-58,0,0
45,-77,-7,15,12,-58,0,0
45,-75,-7,16,13,-60,27,28
45,-75,-7,16,13,-60,0,0
45,-74,-8,21,13,-60,0,0
45,-74,-8,21,13,-60,0,0
45,-70,-7,21,13,-60,0,0
45,-70,-7,21,13,-60,0,0
45,-72,-9,19,13,-60,2,4
45,-72,-9,19,13,-60,0,0
45,-75,-7,14,13,-60,2,4
45,-75,-7,14,13,-60,0,0
45,-73,-9,21,12,-62,2,4
45,-73,-9,21,12,-62,0,0
45,-74,-8,12,12,-62,0,0
45,-74,-8,12,12,-62,0,0
6,-73,-7.5,17,12,-62,2,1.5
6,-72,-7,22,14,-59,1,1
6,-70,-9,19,14,-59,0,0
6,-70,-9,19,14,-59,0,0
6,-70,-10,21,14,-59,0,0
6,-70,-10,21,14,-59,0,0
6,-70,-8,23,15,-61,0,0
6,-70,-8,23,15,-61,0,0
6,-72,-7,11,15,-61,0,0
6,-72,-7,11,15,-61,0,0
6,-70,-8,23,15,-61,0,0
6,-70,-8,23,15,-61,0,0
37,-76.5,-8.5,17.5,13.5,-68,1,2
37,-83,-9,12,12,-72,0,0
37,-81,-7,8,12,-72,2,20
37,-81,-7,8,12,-72,7583,125
37,-86,-12,7,12,-68,8548,109
37,-86,-12,7,10,-73,0,0
37,-90,-13,3,10,-73,0,0
37,-90,-13,3,9,-79,0,0
37,-83,-11,-5,8,-76,0,0
37,-83,-11,-5,10,-67,0,0
37,-84,-14,-1,8,-63,0,0
37,-84,-14,-1,8,-63,0,0
37,-85,-12,0,9,-69,0,0
37,-85,-12,0,10,-66,0,0
37,-86,-14,1,10,-66,0,0
21,-83,-13,9,10,-66,0,25
21,-83,-13,9,13,-62,13,0
21,-88,-11,-1,10,-76,0,0
21,-88,-11,-1,6,-72,2,4
21,-88,-14,0,6,-72,0,0
21,-88,-14,0,11,-65,2,4
21,-85,-17,0,14,-75,0,0
21,-85,-17,0,10,-84,2,4
21,-94,-16,-7,11,-79,0,0
21,-94,-16,-7,9,-84,0,0
45,-94.5,-18.5,-9,10,-82,0,0
45,-88,-21,-12,7,-80,0,0
45,-88,-21,-12,12,-75,0,0
45,-82,-17,1,12,-75,0,0
45,-82,-17,1,14,-72,0,0
45,-85,-15,-8,6,-77,0,0
49,-85,-15,-8,9.5,-76,0,0
53,-81,-13,4,13,-75,0,0
53,-81,-13,4,15,-78,0,0
53,-82,-11,0,8,-75,0,0
53,-82,-11,0,8,-75,0,0
53,-85,-16,-9,12,-78,0,0
