Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
1,-90,-17,-8,12,-71,2,4
1,-90,-17,-8,12,-71,0,0
1,-91,-16,-9,12,-71,2,4
1,-91,-13,3,12,-72,0,0
1,-91,-13,3,12,-72,0,0
1,-91,-12,2,12,-72,0,0
1,-91,-12,2,12,-72,0,0
1,-93,-16,-8,12,-72,2,4
1,-93,-16,-8,12,-72,15822,62
1,-92,-11,0,12,-72,0,0
1,-92,-11,0,12,-72,2,4
1,-93,-15,-10,12,-72,0,0
1,-93,-15,-10,12,-72,0,0
1,-93,-16,-7,12,-72,0,0
1,-93,-16,-7,12,-72,0,0
1,-93,-16,-6,12,-75,0,0
1,-93,-16,-6,13,-72,0,0
1,-91,-18,-7,13,-72,0,0
1,-91,-18,-7,13,-72,0,0
1,-92,-12,0,10,-75,0,0
1,-92,-12,0,12,-71,0,0
1,-91,-13,-2,12,-71,0,0
1,-91,-13,-2,12,-71,0,0
1,-91,-13,-9,12,-71,0,0
1,-91,-13,-9,12,-71,2,4
1,-94,-14,0,12,-71,0,0
1,-94,-14,0,12,-71,2,4
1,-93,-14,0,12,-71,0,0
1,-93,-14,0,12,-71,2,4
1,-92,-13,2,12,-71,0,0
1,-92,-13,2,12,-71,15,27
1,-91,-12,2,12,-71,0,0
1,-91,-12,2,12,-71,0,0
1,-93,-12,1,12,-71,0,0
1,-93,-12,1,12,-71,0,0
1,-93,-12,2,12,-71,0,0
1,-93,-12,2,12,-71,0,0
1,-94,-12,0,12,-71,0,0
1,-94,-12,0,11,-69,0,0
1,-92,-11,-2,11,-69,0,0
1,-92,-11,-2,12,-72,0,0
1,-92,-13,-1,12,-72,0,0
1,-92,-13,-1,12,-72,0,0
1,-93,-13,0,12,-76,0,0
1,-93,-13,0,12,-72,2,4
1,-91,-16,1,12,-72,0,0
1,-91,-16,1,12,-72,0,0
1,-92,-16,-10,12,-72,2,4
1,-92,-16,-10,12,-72,16054,75
1,-93,-14,-5,12,-72,0,0
1,-93,-14,-5,12,-72,0,0
1,-93,-13,-1,12,-72,0,0
1,-93,-13,-1,12,-72,0,0
1,-94,-14,3,12,-72,0,0
1,-94,-14,3,12,-72,0,0
1,-92,-12,0,12,-72,0,0
1,-92,-12,0,12,-72,0,0
1,-91,-11,2,12,-72,0,0
1,-91,-11,2,12,-75,0,0
1,-91,-12,-1,12,-69,0,0
1,-91,-12,-1,12,-72,0,0
1,-94,-15,-1,12,-72,0,0
1,-94,-15,-1,11,-70,0,0
1,-92,-15,-1,11,-70,2,4
1,-92,-15,-1,11,-72,0,0
1,-92,-15,1,11,-72,2,4
1,-92,-15,1,11,-72,0,0
1,-92,-16,-8,11,-72,2,4
1,-92,-16,-8,11,-72,0,0
1,-94,-19,-10,11,-72,0,0
1,-94,-19,-10,11,-72,0,0
1,-93,-18,2,11,-72,0,0
1,-93,-18,2,11,-72,0,0
1,-92,-12,-4,12,-70,0,0
1,-92,-12,-4,9,-72,0,0
1,-93,-13,-10,9,-72,0,0
1,-93,-13,-10,12,-70,0,0
1,-94,-13,-2,12,-70,0,0
1,-94,-13,-2,7,-75,0,0
1,-93,-19,-10,10,-71,0,0
1,-93,-19,-10,10,-71,0,0
1,-94,-19,-11,10,-71,0,0
1,-94,-19,-11,10,-71,0,0
1,-93,-16,-3,10,-71,2,4
1,-93,-16,-3,10,-71,0,0
1,-93,-18,0,8,-69,0,0
1,-93,-18,0,6,-71,17,32
1,-94,-14,3,6,-71,0,0
1,-94,-14,3,6,-71,0,0
1,-92,-14,0,6,-71,0,0
1,-92,-14,0,6,-71,24112,125
1,-91,-14,1,6,-71,0,0
1,-91,-14,1,6,-71,0,0
1,-91,-14,0,6,-71,0,0
1,-91,-14,0,6,-71,0,0
1,-90,-11,2,6,-71,0,0
1,-90,-11,2,6,-71,0,0
